# z	dc	dL	dVc_dz
1.729999999999999982e+00	4.899862544900919659e+00	1.337662474757951259e+01	5.060378735937287047e+02
1.739999999999999991e+00	4.916635337008821161e+00	1.347158082340417096e+01	5.069983525534196929e+02
1.750000000000000000e+00	4.933325504220229085e+00	1.356664513660563109e+01	5.079382420513061902e+02
1.760000000000000009e+00	4.949933663628359071e+00	1.366181691161427025e+01	5.088577872794961650e+02
1.770000000000000018e+00	4.966460426792584926e+00	1.375709538221545891e+01	5.097572313974535518e+02
1.780000000000000027e+00	4.982906399784429397e+00	1.385247979140071450e+01	5.106368155162678590e+02
1.790000000000000036e+00	4.999272183233554934e+00	1.394796939122161916e+01	5.114967786846435729e+02
1.800000000000000044e+00	5.015558372373727813e+00	1.404356344264643930e+01	5.123373578765333605e+02
1.810000000000000053e+00	5.031765557088737850e+00	1.413926121541935288e+01	5.131587879803428223e+02
1.820000000000000062e+00	5.047894321958261266e+00	1.423506198792229860e+01	5.139613017896415386e+02
1.830000000000000071e+00	5.063945246303650727e+00	1.433096504703933149e+01	5.147451299953062289e+02
1.840000000000000080e+00	5.079918904233623245e+00	1.442696968802349033e+01	5.155105011790370781e+02
1.850000000000000089e+00	5.095815864689853925e+00	1.452307521436608440e+01	5.162576418081835072e+02
1.860000000000000098e+00	5.111636691492440931e+00	1.461928093766838010e+01	5.169867762318194764e+02
1.870000000000000107e+00	5.127381943385237228e+00	1.471558617751563247e+01	5.176981266780085207e+02
1.880000000000000115e+00	5.143052174081042871e+00	1.481199026135340091e+01	5.183919132522088375e+02
1.890000000000000124e+00	5.158647932306628547e+00	1.490849252436615835e+01	5.190683539367553294e+02
1.900000000000000133e+00	5.174169761847597471e+00	1.500509230935803373e+01	5.197276645913798347e+02
1.910000000000000142e+00	5.189618201593056313e+00	1.510178896663579451e+01	5.203700589547050868e+02
1.919999999999999929e+00	5.204993785580109389e+00	1.519858185389391991e+01	5.209957486466798855e+02
1.929999999999999938e+00	5.220297043038137907e+00	1.529547033610174189e+01	5.216049431718964797e+02
1.939999999999999947e+00	5.235528498432877598e+00	1.539245378539266085e+01	5.221978499237552569e+02
1.949999999999999956e+00	5.250688671510277850e+00	1.548953158095532068e+01	5.227746741894297884e+02
1.959999999999999964e+00	5.265778077340122820e+00	1.558670310892676447e+01	5.233356191555907344e+02
1.969999999999999973e+00	5.280797226359438490e+00	1.568396776228752998e+01	5.238808859148532520e+02
1.979999999999999982e+00	5.295746624415637704e+00	1.578132494075859960e+01	5.244106734729065238e+02
1.989999999999999991e+00	5.310626772809429852e+00	1.587877405070019776e+01	5.249251787562901654e+02
2.000000000000000000e+00	5.325438168337473854e+00	1.597631450501241979e+01	5.254245966207847687e+02
2.010000000000000231e+00	5.340181303334762930e+00	1.607394572303763880e+01	5.259091198603758812e+02
2.020000000000000018e+00	5.354856665716758002e+00	1.617166713046460913e+01	5.263789392167733467e+02
2.030000000000000249e+00	5.369464739021232447e+00	1.626947815923433538e+01	5.268342433894354144e+02
2.040000000000000036e+00	5.384006002449853945e+00	1.636737824744755798e+01	5.272752190460881820e+02
2.049999999999999822e+00	5.398480930909484776e+00	1.646536683927392630e+01	5.277020508336960347e+02
2.060000000000000053e+00	5.412889995053189018e+00	1.656344338486276158e+01	5.281149213898644348e+02
2.069999999999999840e+00	5.427233661320964409e+00	1.666160734025535817e+01	5.285140113546469820e+02
2.080000000000000071e+00	5.441512391980167784e+00	1.675985816729891553e+01	5.288994993827283224e+02
2.089999999999999858e+00	5.455726645165662525e+00	1.685819533356189481e+01	5.292715621559644887e+02
2.100000000000000089e+00	5.469876874919648024e+00	1.695661831225091021e+01	5.296303743962499766e+02
2.109999999999999876e+00	5.483963531231212052e+00	1.705512658212906985e+01	5.299761088786991650e+02
2.120000000000000107e+00	5.497987060075558929e+00	1.715371962743574485e+01	5.303089364451091114e+02
2.129999999999999893e+00	5.511947903452949049e+00	1.725239693780772754e+01	5.306290260176942866e+02
2.140000000000000124e+00	5.525846499427319536e+00	1.735115800820178578e+01	5.309365446130651662e+02
2.149999999999999911e+00	5.539683282164605593e+00	1.745000233881850704e+01	5.312316573564374949e+02
2.160000000000000142e+00	5.553458681970745658e+00	1.754892943502755642e+01	5.315145274960508459e+02
2.169999999999999929e+00	5.567173125329381023e+00	1.764793880729413900e+01	5.317853164177820418e+02
2.180000000000000160e+00	5.580827034939236597e+00	1.774702997110677316e+01	5.320441836599333101e+02
2.189999999999999947e+00	5.594420829751194368e+00	1.784620244690630742e+01	5.322912869281839221e+02
2.200000000000000178e+00	5.607954925005049773e+00	1.794545576001615927e+01	5.325267821106857582e+02
2.209999999999999964e+00	5.621429732265956325e+00	1.804478944057371947e+01	5.327508232932925694e+02
2.220000000000000195e+00	5.634845659460554046e+00	1.814420302346298541e+01	5.329635627749055402e+02
2.229999999999999982e+00	5.648203110912780822e+00	1.824369604824828173e+01	5.331651510829234439e+02
2.240000000000000213e+00	5.661502487379377335e+00	1.834326805910918523e+01	5.333557369887863615e+02
2.250000000000000000e+00	5.674744186085064257e+00	1.844291860477646239e+01	5.335354675235980721e+02
2.260000000000000231e+00	5.687928600757416575e+00	1.854264723846917917e+01	5.337044879938162012e+02
2.270000000000000018e+00	5.701056121661415510e+00	1.864245351783283056e+01	5.338629419970026220e+02
2.280000000000000249e+00	5.714127135633696675e+00	1.874233700487852516e+01	5.340109714376188776e+02
2.290000000000000036e+00	5.727142026116469609e+00	1.884229726592318599e+01	5.341487165428586650e+02
2.300000000000000266e+00	5.740101173191143324e+00	1.894233387153077430e+01	5.342763158785087398e+02
2.310000000000000053e+00	5.753004953611624117e+00	1.904244639645447634e+01	5.343939063648289221e+02
2.319999999999999840e+00	5.765853740837311392e+00	1.914263441957987411e+01	5.345016232924391488e+02
2.330000000000000071e+00	5.778647905065786183e+00	1.924289752386906827e+01	5.345996003382128947e+02
2.339999999999999858e+00	5.791387813265178153e+00	1.934323529630569638e+01	5.346879695811600186e+02
2.350000000000000089e+00	5.804073829206244817e+00	1.944364732784092098e+01	5.347668615182983558e+02
2.359999999999999876e+00	5.816706313494123037e+00	1.954413321334025255e+01	5.348364050805047327e+02
2.370000000000000107e+00	5.829285623599791855e+00	1.964469255153129978e+01	5.348967276483369915e+02
2.379999999999999893e+00	5.841812113891225344e+00	1.974532494495234047e+01	5.349479550678248643e+02
2.390000000000000124e+00	5.854286135664243496e+00	1.984602999990178773e+01	5.349902116662186700e+02
2.399999999999999911e+00	5.866708037173066437e+00	1.994680732638842358e+01	5.350236202676948096e+02
2.410000000000000142e+00	5.879078163660560463e+00	2.004765653808251002e+01	5.350483022090070335e+02
2.419999999999999929e+00	5.891396857388201624e+00	2.014857725226764984e+01	5.350643773550863216e+02
2.430000000000000160e+00	5.903664457665728449e+00	2.024956908979345016e+01	5.350719641145757350e+02
2.439999999999999947e+00	5.915881300880508675e+00	2.035063167502894643e+01	5.350711794553016034e+02
2.450000000000000178e+00	5.928047720526618214e+00	2.045176463581683279e+01	5.350621389196747941e+02
2.459999999999999964e+00	5.940164047233621680e+00	2.055296760342833196e+01	5.350449566400188814e+02
2.470000000000000195e+00	5.952230608795064271e+00	2.065424021251887510e+01	5.350197453538177115e+02
2.479999999999999982e+00	5.964247730196687414e+00	2.075558210108447099e+01	5.349866164188853190e+02
2.490000000000000213e+00	5.976215733644348660e+00	2.085699291041877856e+01	5.349456798284477372e+02
2.500000000000000000e+00	5.988134938591668011e+00	2.095847228507084026e+01	5.348970442261398830e+02
2.510000000000000231e+00	6.000005661767384701e+00	2.106001987280352239e+01	5.348408169209081962e+02
2.520000000000000018e+00	6.011828217202447533e+00	2.116163532455261631e+01	5.347771039018226702e+02
2.530000000000000249e+00	6.023602916256815654e+00	2.126331829438656129e+01	5.347060098527897480e+02
2.540000000000000036e+00	6.035330067645996444e+00	2.136506843946682821e+01	5.346276381671684703e+02
2.550000000000000266e+00	6.047009977467301844e+00	2.146688542000892497e+01	5.345420909622831687e+02
2.560000000000000053e+00	6.058642949225844454e+00	2.156876889924400587e+01	5.344494690938355461e+02
2.569999999999999840e+00	6.070229283860257397e+00	2.167071854338112047e+01	5.343498721702100056e+02
2.580000000000000071e+00	6.081769279768153069e+00	2.177273402156998827e+01	5.342433985666715444e+02
2.589999999999999858e+00	6.093263232831315435e+00	2.187481500586441996e+01	5.341301454394558732e+02
2.600000000000000089e+00	6.104711436440635630e+00	2.197696117118628933e+01	5.340102087397488049e+02
2.609999999999999876e+00	6.116114181520783788e+00	2.207917219529002750e+01	5.338836832275543429e+02
2.620000000000000107e+00	6.127471756554625948e+00	2.218144775872774588e+01	5.337506624854491974e+02
2.629999999999999893e+00	6.138784447607385175e+00	2.228378754481480684e+01	5.336112389322239551e+02
2.640000000000000124e+00	6.150052538350553100e+00	2.238619123959601254e+01	5.334655038364082884e+02
2.649999999999999911e+00	6.161276310085549213e+00	2.248865853181225205e+01	5.333135473296812279e+02
2.660000000000000142e+00	6.172456041767130586e+00	2.259118911286769915e+01	5.331554584201626312e+02
2.669999999999999929e+00	6.183592010026555563e+00	2.269378267679745775e+01	5.329913250055886920e+02
2.680000000000000160e+00	6.194684489194510313e+00	2.279643892023580065e+01	5.328212338863686455e+02
2.689999999999999947e+00	6.205733751323786684e+00	2.289915754238477064e+01	5.326452707785224447e+02
2.700000000000000178e+00	6.216740066211724702e+00	2.300193824498338202e+01	5.324635203264988377e+02
2.709999999999999964e+00	6.227703701422416138e+00	2.310478073227716322e+01	5.322760661158743005e+02
